id;date;amount;payment_code;type
1;2024-01-12T06:06:11;27138.72;ick latitude since;Cheque
2;2024-01-12T01:41:09;20916.69;mention eventually yahoo;Effet
3;2024-01-11T15:23:14;28021.06;why;Versement
4;2024-01-11T18:49:04;30508.73;agenda;Effet
5;2024-01-11T16:07:39;19648.73;likewise winding punctually;Cash
6;2024-01-11T12:15:38;30340.55;conformation regulate during;Cheque
7;2024-01-11T14:56:56;9469.53;whereas;Cheque
8;2024-01-12T10:04:53;12364.16;generously unlike pish;Virement
9;2024-01-12T09:42:48;26303.17;whoa elementary boohoo;Effet
10;2024-01-12T00:39:42;27736.67;nestle gleeful;Virement
